Target,Model,Feature Set,PR-AUC,ROC-AUC,Brier,Recall@1%
next_3m_delinquency_flag,Baseline A (Prior),None,0.02854689979415478,0.5,0.027744474446255364,0.03208245349309595
next_3m_delinquency_flag,LightGBM,Static_Current,0.4895323273662519,0.8489035347174667,0.01772766671969322,0.26551158259629626
next_3m_delinquency_flag,LightGBM,Static_Current_Traj,0.5988598827247831,0.8821394238944369,0.015434704526616832,0.3175395357127492
next_3m_delinquency_flag,LightGBM,Static_Current_Traj_Rel,0.6060094750222762,0.8922156383233744,0.015312852040280352,0.31715846860191393
next_6m_delinquency_flag,Baseline A (Prior),None,0.043760738723712105,0.5,0.041845814979022,0.044040933218451865
next_6m_delinquency_flag,LightGBM,Static_Current,0.4630305375064467,0.8097239777007109,0.028565893733107212,0.21259184423218222
next_6m_delinquency_flag,LightGBM,Static_Current_Traj,0.5450663767885247,0.8457942959349196,0.026302631299501465,0.21426800146950772
next_6m_delinquency_flag,LightGBM,Static_Current_Traj_Rel,0.5612423238871367,0.8546654448459989,0.02594765241636772,0.21496601763409257
next_12m_default_flag,Baseline A (Prior),None,0.0009151520496391095,0.5,0.0009149174668653621,0.00013867249407363425
next_12m_default_flag,LightGBM,Static_Current,0.023244889341437293,0.6914871399429098,0.0009051948808100137,0.22075123152709358
next_12m_default_flag,LightGBM,Static_Current_Traj,0.1982979835941956,0.8672754546930289,0.0008159458825705532,0.7007389162561576
next_12m_default_flag,LightGBM,Static_Current_Traj_Rel,0.13268973552019037,0.6987861998976747,0.0008617776300594444,0.6200738916256158
next_12m_prepayment_flag,Baseline A (Prior),None,0.11627225512076632,0.5,0.12069752207032652,0.2502293537024719
next_12m_prepayment_flag,LightGBM,Static_Current,0.18893709796163533,0.6414208124404541,0.10450187086474745,0.03001950734857572
next_12m_prepayment_flag,LightGBM,Static_Current_Traj,0.18362342793349473,0.6329000723993257,0.10461967260914208,0.030906425308664415
next_12m_prepayment_flag,LightGBM,Static_Current_Traj_Rel,0.1980923329516886,0.6430312445996312,0.10449477783660739,0.03497994741497341
